Date,Open,High,Low,Close,Adj Close,Volume
1/4/17,22.469999,22.552999,21.65,21.65,21.65,22200
1/5/17,21.42,22.049999,21.08,21.33,21.33,20000
1/6/17,21.049999,21.57,21,21.379999,21.379999,33900
1/9/17,21.65,22.9,21.65,22.889999,22.889999,42300
1/10/17,22.5,22.950001,22.389999,22.870001,22.870001,20400
1/11/17,22.690001,22.93,22.07,22.07,22.07,13200
1/12/17,21.42,22.43,21.389999,22.17,22.17,9800
1/13/17,22.41,22.41,22.129999,22.27,22.27,12900
1/17/17,21.92,22.17,21.48,21.889999,21.889999,16800
1/18/17,22.4,22.539,21.82,22.18,22.18,15100
1/19/17,22.280001,22.5,21.98,22.32,22.32,12600
1/20/17,21.76,22.27,21.5,22.139999,22.139999,16900
1/23/17,22.316999,22.940001,22.316999,22.610001,22.610001,31500
1/24/17,22.17,22.17,20.950001,21.26,21.26,46600
1/25/17,21.040001,21.040001,20.469999,20.83,20.83,27100
1/26/17,20.440001,20.52,20.1,20.42,20.42,17600
1/27/17,20.868,21.5,20.73,21.23,21.23,36800
1/30/17,21.855,24.146,21.855,23.469999,23.469999,53000
1/31/17,23.530001,24.136999,23.290001,23.290001,23.290001,22700
2/1/17,22.9,24.139999,22.370001,23.360001,23.360001,13100
2/2/17,23.549999,23.85,22.33,22.52,22.52,24100
2/3/17,22.42,22.783001,21.290001,21.6,21.6,32300
2/6/17,21.34,22.450001,20.969999,22.25,22.25,25600
2/7/17,22.5,24.360001,22.5,23.950001,23.950001,44900
2/8/17,24.700001,25.639999,24,24.219999,24.219999,52400
2/9/17,23.719999,23.719999,22.67,22.75,22.75,26700
2/10/17,22.18,22.27,21.549999,22.047001,22.047001,33300
2/13/17,22.48,22.697001,22.24,22.471001,22.471001,15400
2/14/17,22.288,22.950001,21.82,21.85,21.85,18100
2/15/17,22.129999,22.6,21.809999,22.35,22.35,14200
2/16/17,22.219999,23.58,22.160999,23.51,23.51,24800
2/17/17,23.51,24.016001,23.290001,23.73,23.73,21700
2/21/17,23.219999,23.43,22.860001,23.290001,23.290001,50600
2/22/17,23.969999,25.219999,23.889,25.190001,25.190001,40300
2/23/17,24.33,26.313999,24.02,25.530001,25.530001,24100
2/24/17,25.940001,27.528999,25.879999,27.23,27.23,17900
2/27/17,26.57,27.57,26.549999,26.860001,26.860001,21500
2/28/17,27.521,27.539,26.98,27.440001,27.440001,9800
3/1/17,26.139999,26.59,25.35,25.57,25.57,12000
3/2/17,25.98,26.809999,25.98,26.73,26.73,13100
3/3/17,26.549999,27.17,26.110001,26.9,26.9,9300
3/6/17,26.74,27.18,26.125999,26.219999,26.219999,11400
3/7/17,26.110001,27.1,25.958,27,27,11100
3/8/17,27.540001,30.16,27.049999,30.09,30.09,19700
3/9/17,30.18,31.84,29.353001,29.549999,29.549999,17600
3/10/17,29.290001,30.299999,28.75,29.969999,29.969999,16500
3/13/17,29.344999,29.74,28.603001,29.129999,29.129999,15200
3/14/17,30.110001,31.99,30.110001,30.549999,30.549999,22900
3/15/17,29.68,29.959999,27.726999,27.799999,27.799999,18600
3/16/17,27.6,28.816,27.6,28.66,28.66,10200
3/17/17,28.610001,29.24,27.959999,29.129999,29.129999,11900
3/20/17,29.549999,30.110001,28.870001,29.030001,29.030001,10100
3/21/17,28.77,30.719999,28.77,30.370001,30.370001,9800
3/22/17,30.725,31.9,30.290001,31.280001,31.280001,20600
3/23/17,32.720001,32.720001,30.43,31.030001,31.030001,21200
3/24/17,30.6,31.25,30.139999,30.799999,30.799999,16300
3/27/17,31.629999,32.09,30.209999,30.209999,30.209999,6500
3/28/17,29.625,30.16,28.190001,28.41,28.41,15600
3/29/17,28.18,28.18,25.799999,26.030001,26.030001,21800
3/30/17,25.74,26.68,25.41,26.59,26.59,55800
3/31/17,26.6,26.85,25.6,25.76,25.76,43200
4/3/17,26,27.290001,25.740999,26.15,26.15,40100
4/4/17,26.09,26.23,24.5,24.5,24.5,36800
4/5/17,23.91,25.83,23.190001,25.73,25.73,43900
4/6/17,24.99,25.26,24.24,24.48,24.48,23100
